0,KM INITIALISE,BB00
1,KM RESET,BB03
2,KM WAIT CHAR,BB06
3,KM READ CHAR,BB09
4,KM CHAR RETURN,BB0C
5,KM SET EXPAND,BB0F
6,KM GET EXPAND,BB12
7,KM EXP BUFFER,BB15
8,KM WAIT KEY,BB18
9,KM READ KEY,BB1B
10,KM TEST KEY,BB1E
11,KM GET STATE,BB21
12,KM GET JOYSTICK,BB24
13,KM SET TRANSLATE,BB27
14,KM GET TRANSLATE,BB2A
15,KM SET SHIFT,BB2D
16,KM GET SHIFT,BB30
17,KM SET CONTROL,BB33
18,KM GET CONTROL,BB36
19,KM SET REPEAT,BB39
20,KM GET REPEAT,BB3C
21,KM SET DELAY,BB3F
22,KM GET DELAY,BB42
23,KM ARM BREAK,BB45
24,KM DISARM BREAK,BB48
25,KM BREAK EVENT,BB4B
26,TXT INITIALISE,BB4E
27,TXT RESET,BB51
28,TXT VDU ENABLE,BB54
29,TXT VDU DISABLE,BB57
30,TXT OUTPUT,BB5A
31,TXT WR CHAR,BB5D
32,TXT RD CHAR,BB60
33,TXT SET GRAPHIC,BB63
34,TXT WIN ENABLE,BB66
35,TXT GET WINDOW,BB69
36,TXT CLEAR WINDOW,BB6C
37,TXT SET COLUMN,BB6F
38,TXT SET ROW,BB72
39,TXT SET CURSOR,BB75
40,TXT GET CURSOR,BB78
41,TXT CUR ENABLE,BB7B
42,TXT CUR DISABLE,BB7E
43,TXT CUR ON,BB81
44,TXT CUR OFF,BB84
45,TXT VALIDATE,BB87
46,TXT PLACE CURSOR,BB8A
47,TXT REMOVE CURSOR,BB8D
48,TXT SET PEN,BB90
49,TXT GET PEN,BB93
50,TXT SET PAPER,BB96
51,TXT GET PAPER,BB99
52,TXT INVERSE,BB9C
53,TXT SET BACK,BB9F
54,TXT GET BACK,BBA2
55,TXT GET MATRIX,BBA5
56,TXT SET MATRIX,BBA8
57,TXT SET M TABLE,BBAB
58,TXT GET M TABLE,BBAE
59,TXT GET CONTROLS,BBB1
60,TXT STR SELECT,BBB4
61,TXT SWAP STREAMS,BBB7
62,GRA INITIALISE,BBBA
63,GRA RESET,BBBD
64,GRA MOVE ABSOLUTE,BBC0
65,GRA MOVE RELATIVE,BBC3
66,GRA ASK CURSOR,BBC6
67,GRA SET ORIGIN,BBC9
68,GRA GET ORIGIN,BBCC
69,GRA WIN WIDTH,BBCF
70,GRA WIN HEIGHT,BBD2
71,GRA GET W WIDTH,BBD5
72,GRA GET W HEIGHT,BBD8
73,GRA CLEAR WINDOW,BBDB
74,GRA SET PEN,BBDE
75,GRA GET PEN,BBE1
76,GRA SET PAPER,BBE4
77,GRA GET PAPER,BBE7
78,GRA PLOT ABSOLUTE,BBEA
79,GRA PLOT RELATIVE,BBED
80,GRA TEST ABSOLUTE,BBF0
81,GRA TEST RELATIVE,BBF3
82,GRA LINE ABSOLUTE,BBF6
83,GRA LINE RELATIVE,BBF9
84,GRA WR CHAR,BBFC
85,SCR INITIALISE,BBFF
86,SCR RESET,BC02
87,SCR SET OFFSET,BC05
88,SCR SET BASE,BC08
89,SCR GET LOCATION,BC0B
90,SCR SET MODE,BC0E
91,SCR GET MODE,BC11
92,SCR CLEAR,BC14
93,SCR CHAR LIMITS,BC17
94,SCR CHAR POSITION,BC1A
95,SCR DOT POSITION,BC1D
96,SCR NEXT BYTE,BC20
97,SCR PREV BYTE,BC23
98,SCR NEXT LINE,BC26
99,SCR PREV LINE,BC29
100,SCR INK ENCODE,BC2C
101,SCR INK DECODE,BC2F
102,SCR SET INK,BC32
103,SCR GET INK,BC35
104,SCR SET BORDER,BC38
105,SCR GET BORDER,BC3B
106,SCR SET FLASHING,BC3E
107,SCR GET FLASHING,BC41
108,SCR FILL BOX,BC44
109,SCR FLOOD BOX,BC47
110,SCR CHAR INVERT,BC4A
111,SCR HW ROLL,BC4D
112,SCR SW ROLL,BC50
113,SCR UNPACK,BC53
114,SCR REPACK,BC56
115,SCR ACCESS,BC59
116,SCR PIXELS,BC5C
117,SCR HORIZONTAL,BC5F
118,SCR VERTICAL,BC62
119,CAS INITIALISE,BC65
120,CAS SET SPEED,BC68
121,CAS NOISY,BC6B
122,CAS START MOTOR,BC6E
123,CAS STOP MOTOR,BC71
124,CAS RESTORE MOTOR,BC74
125,CAS IN OPEN,BC77
125,CAS IN OPEN (DISC),BC77
126,CAS IN CLOSE,BC7A
126,CAS IN CLOSE (DISC),BC7A
127,CAS IN ABANDON,BC7D
127,CAS IN ABANDON (DISC),BC7D
128,CAS IN CHAR,BC80
128,CAS IN CHAR (DISC),BC80
129,CAS IN DIRECT,BC83
129,CAS IN DIRECT (DISC),BC83
130,CAS RETURN,BC86
130,CAS RETURN (DISC),BC86
131,CAS TEST EOF,BC89
131,CAS TEST EOF (DISC),BC89
132,CAS OUT OPEN,BC8C
132,CAS OUT OPEN (DISC),BC8C
133,CAS OUT CLOSE,BC8F
133,CAS OUT CLOSE (DISC),BC8F
134,CAS OUT ABANDON,BC92
134,CAS OUT ABANDON (DISC),BC92
135,CAS OUT CHAR,BC95
135,CAS OUT CHAR (DISC),BC95
136,CAS OUT DIRECT,BC98
136,CAS OUT DIRECT (DISC),BC98
137,CAS CATALOG,BC9B
137,CAS CATALOG (DISC),BC9B
138,CAS WRITE,BC9E
139,CAS READ,BCA1
140,CAS CHECK,BCA4
141,SOUND RESET,BCA7
142,SOUND QUEUE,BCAA
143,SOUND CHECK,BCAD
144,SOUND ARM EVENT,BCB0
145,SOUND RELEASE,BCB3
146,SOUND HOLD,BCB6
147,SOUND CONTINUE,BCB9
148,SOUND AMPL ENVELOPE,BCBC
149,SOUND TONE ENVELOPE,BCBF
150,SOUND A ADDRESS,BCC2
151,SOUND T ADDRESS,BCC5
152,KL CHOKE OFF,BCC8
153,KL ROM WALK,BCCB
154,KL INIT BACK,BCCE
155,KL LOG EXT,BCD1
156,KL FIND COMMAND,BCD4
157,KL NEW FRAME FLY,BCD7
158,KL ADD FRAME FLY,BCDA
159,KL DEL FRAME FLY,BCDD
160,KL NEW FAST TICKER,BCE0
161,KL ADD FAST TICKER,BCE3
162,KL DEL FAST TICKER,BCE6
163,KL ADD TICKER,BCE9
164,KL DEL TICKER,BCEC
165,KL INIT EVENT,BCEF
166,KL EVENT,BCF2
167,KL SYNC RESET,BCF5
168,KL DEL SYNCHRONOUS,BCF8
169,KL NEXT SYNC,BCFB
170,KL DO SYNC,BCFE
171,KL DONE SYNC,BD01
172,KL EVENT DISABLE,BD04
173,KL EVENT ENABLE,BD07
174,KL DISARM EVENT,BD0A
175,KL TIME PLEASE,BD0D
176,KL TIME SET,BD10
177,MC BOOT PROGRAM,BD13
178,MC START PROGRAM,BD16
179,MC WAIT FLYBACK,BD19
180,MC SET MODE,BD1C
181,MC SCREEN OFFSET,BD1F
182,MC CLEAR INKS,BD22
183,MC SET INKS,BD25
184,MC RESET PRINTER,BD28
185,MC PRINT CHAR,BD2B
186,MC BUSY PRINTER,BD2E
187,MC SEND PRINTER,BD31
188,MC SOUND REGISTER,BD34
189,JUMP RESTORE,BD37
190,KM SET LOCKS,BD3A
191,KM FLUSH,BD3D
192,TXT ASK STATE,BD40
193,GRA DEFAULT,BD43
194,GRA SET BACK,BD46
195,GRA SET FIRST,BD49
196,GRA SET LINE MASK,BD4C
197,GRA FROM USER,BD4F
198,GRA FILL,BD52
199,SCR SET POSITION,BD55
200,MC PRINT TRANSLATION,BD58
201,KL BANK SWITCH,BD5B
